source,time,region,region_code,lat,lon,temp,temp_feels,hum,pressure,wind_speed,wind_dir,weather_code,processed_at,quality_flag,weather_label
openweathermap,2026-05-14 17:13:30.327401+00:00,Diourbel,DB,14.6554,-16.2322,35.09,36.79,38.0,1008.0,3.09,360,800,2026-05-14T17:13:30.545247+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:13:34.074090+00:00,Fatick,FK,14.339,-16.4114,34.5,34.8,32.0,1007.6,11.8,296,1,2026-05-14T17:13:39.799797+00:00,OK,
openweathermap,2026-05-14 17:13:38.947017+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T17:13:39.511063+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:13:45.315652+00:00,Kaolack,KL,14.1652,-16.0726,35.9,35.5,29.0,1007.1,14.1,281,1,2026-05-14T17:13:49.840088+00:00,OK,
openweathermap,2026-05-14 17:13:49.746490+00:00,Kaolack,KL,14.1652,-16.0726,35.97,37.18,34.0,1008.0,4.12,320,800,2026-05-14T17:13:50.225148+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:13:53.333244+00:00,Kaffrine,KF,14.1059,-15.5503,36.2,36.0,31.0,1006.1,16.4,274,0,2026-05-14T17:13:58.386971+00:00,OK,
openweathermap,2026-05-14 17:13:58.255223+00:00,Kaffrine,KF,14.1059,-15.5503,36.06,34.94,24.0,1008.0,7.71,238,802,2026-05-14T17:13:58.465204+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:14:04.176484+00:00,Tambacounda,TC,13.7707,-13.6673,39.2,38.9,26.0,1002.8,17.1,240,1,2026-05-14T17:14:08.596031+00:00,OK,
openweathermap,2026-05-14 17:14:08.516563+00:00,Tambacounda,TC,13.7707,-13.6673,41.12,45.9,31.0,1005.0,4.12,240,800,2026-05-14T17:14:08.631999+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:14:12.175941+00:00,Kédougou,KD,12.5559,-12.1747,36.1,37.5,40.0,994.2,18.7,257,51,2026-05-14T17:14:17.444334+00:00,OK,
openweathermap,2026-05-14 17:14:17.311621+00:00,Kédougou,KD,12.5559,-12.1747,39.31,46.0,39.0,1006.0,4.63,250,801,2026-05-14T17:14:17.519192+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:14:23.645105+00:00,Kolda,KO,12.8989,-14.9413,37.3,38.0,32.0,1004.4,14.8,249,0,2026-05-14T17:14:28.163579+00:00,OK,
openweathermap,2026-05-14 17:14:28.034504+00:00,Kolda,KO,12.8989,-14.9413,41.05,43.78,27.0,1006.0,4.12,220,800,2026-05-14T17:14:28.209899+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:14:31.238941+00:00,Sédhiou,SD,12.708,-15.5569,35.8,36.4,36.0,1005.8,16.5,242,0,2026-05-14T17:14:35.699924+00:00,OK,
openweathermap,2026-05-14 17:14:35.585827+00:00,Sédhiou,SD,12.708,-15.5569,37.53,37.47,26.0,1007.0,5.66,252,802,2026-05-14T17:14:35.780094+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:14:41.466932+00:00,Ziguinchor,ZG,12.5681,-16.2719,31.1,31.1,40.0,1007.5,14.0,263,0,2026-05-14T17:14:46.045269+00:00,OK,
openweathermap,2026-05-14 17:14:45.927077+00:00,Ziguinchor,ZG,12.5681,-16.2719,34.03,39.15,52.0,1009.0,4.12,300,802,2026-05-14T17:14:46.449455+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:14:49.880077+00:00,Saint-Louis,SL,16.0179,-16.4896,24.4,22.7,54.0,1008.9,22.5,333,3,2026-05-14T17:14:54.484181+00:00,OK,
openweathermap,2026-05-14 17:14:54.340834+00:00,Saint-Louis,SL,16.0179,-16.4896,21.12,21.3,77.0,1009.0,6.51,305,801,2026-05-14T17:14:54.560667+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:15:01.034832+00:00,Louga,LG,15.6179,-16.2241,29.0,28.0,42.0,1004.2,17.9,300,2,2026-05-14T17:15:05.553804+00:00,OK,
openweathermap,2026-05-14 17:15:05.376779+00:00,Louga,LG,15.6179,-16.2241,26.83,27.2,49.0,1009.0,7.7,291,804,2026-05-14T17:15:05.615588+00:00,OK,couvert
open-meteo,2026-05-14 17:15:08.320135+00:00,Matam,MT,15.6559,-13.2557,40.4,38.9,19.0,1002.8,15.2,289,0,2026-05-14T17:15:12.807001+00:00,OK,
openweathermap,2026-05-14 17:15:12.639470+00:00,Matam,MT,15.6559,-13.2557,41.03,44.7,29.0,1005.0,4.12,280,800,2026-05-14T17:15:12.845788+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:16:18.483501+00:00,Dakar,DK,14.6928,-17.4467,22.4,21.6,70.0,1009.5,21.3,354,1,2026-05-14T17:16:22.909137+00:00,OK,
openweathermap,2026-05-14 17:16:22.826574+00:00,Dakar,DK,14.6928,-17.4467,22.92,23.38,81.0,1011.0,4.02,51,802,2026-05-14T17:16:22.939627+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:16:26.545178+00:00,Thiès,TH,14.7886,-16.9255,25.4,24.2,52.0,1001.4,19.6,337,3,2026-05-14T17:16:31.052206+00:00,OK,
openweathermap,2026-05-14 17:16:30.873395+00:00,Thiès,TH,14.7886,-16.9255,25.08,25.0,52.0,1010.0,6.15,328,804,2026-05-14T17:16:31.114627+00:00,OK,couvert
open-meteo,2026-05-14 17:16:36.764366+00:00,Diourbel,DB,14.6554,-16.2322,33.5,32.8,32.0,1007.0,15.3,307,1,2026-05-14T17:16:41.251205+00:00,OK,
openweathermap,2026-05-14 17:16:41.163318+00:00,Diourbel,DB,14.6554,-16.2322,34.09,35.58,40.0,1008.0,3.09,360,800,2026-05-14T17:16:41.287343+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:16:44.967897+00:00,Fatick,FK,14.339,-16.4114,34.2,34.3,33.0,1007.6,12.1,300,1,2026-05-14T17:16:49.540122+00:00,OK,
openweathermap,2026-05-14 17:16:49.418809+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T17:16:49.672230+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:16:55.807096+00:00,Kaolack,KL,14.1652,-16.0726,35.7,35.4,30.0,1007.1,14.3,280,1,2026-05-14T17:17:00.289677+00:00,OK,
openweathermap,2026-05-14 17:17:00.204234+00:00,Kaolack,KL,14.1652,-16.0726,34.97,36.04,36.0,1008.0,5.14,280,800,2026-05-14T17:17:00.813571+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:17:03.395080+00:00,Kaffrine,KF,14.1059,-15.5503,36.1,35.8,31.0,1006.1,16.6,275,0,2026-05-14T17:17:07.946375+00:00,OK,
openweathermap,2026-05-14 17:17:07.735384+00:00,Kaffrine,KF,14.1059,-15.5503,36.06,34.94,24.0,1008.0,7.71,238,802,2026-05-14T17:17:07.999374+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:17:13.619527+00:00,Tambacounda,TC,13.7707,-13.6673,39.1,38.7,26.0,1002.8,17.2,240,1,2026-05-14T17:17:18.125302+00:00,OK,
openweathermap,2026-05-14 17:17:18.024840+00:00,Tambacounda,TC,13.7707,-13.6673,41.12,43.91,27.0,1005.0,4.12,250,800,2026-05-14T17:17:18.183901+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:17:21.734007+00:00,Kédougou,KD,12.5559,-12.1747,35.9,37.4,41.0,994.3,18.2,256,2,2026-05-14T17:17:26.423570+00:00,OK,
openweathermap,2026-05-14 17:17:26.256279+00:00,Kédougou,KD,12.5559,-12.1747,39.31,46.31,42.0,1006.0,5.66,230,801,2026-05-14T17:17:26.384393+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:17:32.169045+00:00,Kolda,KO,12.8989,-14.9413,37.2,37.8,32.0,1004.4,14.9,250,0,2026-05-14T17:17:36.933267+00:00,OK,
openweathermap,2026-05-14 17:17:36.537650+00:00,Kolda,KO,12.8989,-14.9413,40.05,42.79,29.0,1006.0,5.14,220,800,2026-05-14T17:17:36.654091+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:17:41.262853+00:00,Sédhiou,SD,12.708,-15.5569,35.4,36.0,37.0,1005.8,16.7,244,0,2026-05-14T17:17:45.741514+00:00,OK,
openweathermap,2026-05-14 17:17:45.613978+00:00,Sédhiou,SD,12.708,-15.5569,37.53,37.47,26.0,1007.0,5.66,252,802,2026-05-14T17:17:45.781541+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:17:51.571697+00:00,Ziguinchor,ZG,12.5681,-16.2719,30.7,30.7,41.0,1007.5,13.9,264,0,2026-05-14T17:17:56.038567+00:00,OK,
openweathermap,2026-05-14 17:17:55.906290+00:00,Ziguinchor,ZG,12.5681,-16.2719,32.03,35.7,55.0,1009.0,4.12,320,801,2026-05-14T17:17:55.991582+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:17:59.663555+00:00,Saint-Louis,SL,16.0179,-16.4896,24.1,22.4,55.0,1008.9,22.4,333,3,2026-05-14T17:18:04.143141+00:00,OK,
openweathermap,2026-05-14 17:18:04.051028+00:00,Saint-Louis,SL,16.0179,-16.4896,21.12,21.3,77.0,1009.0,6.51,305,801,2026-05-14T17:18:04.177174+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:18:09.946437+00:00,Louga,LG,15.6179,-16.2241,29.0,28.0,42.0,1004.2,17.9,300,2,2026-05-14T17:18:14.591168+00:00,OK,
openweathermap,2026-05-14 17:18:14.433403+00:00,Louga,LG,15.6179,-16.2241,26.83,27.2,49.0,1009.0,7.7,291,804,2026-05-14T17:18:14.640532+00:00,OK,couvert
open-meteo,2026-05-14 17:18:20.372274+00:00,Matam,MT,15.6559,-13.2557,40.4,38.9,19.0,1002.8,15.2,289,0,2026-05-14T17:18:24.875079+00:00,OK,
openweathermap,2026-05-14 17:18:24.748522+00:00,Matam,MT,15.6559,-13.2557,41.41,40.04,16.0,1005.0,6.2,228,802,2026-05-14T17:18:24.915583+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:19:30.662868+00:00,Dakar,DK,14.6928,-17.4467,22.4,21.6,70.0,1009.5,21.3,354,1,2026-05-14T17:19:35.793853+00:00,OK,
openweathermap,2026-05-14 17:19:35.659303+00:00,Dakar,DK,14.6928,-17.4467,22.92,23.38,81.0,1011.0,4.02,51,802,2026-05-14T17:19:35.877394+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:19:38.750248+00:00,Thiès,TH,14.7886,-16.9255,25.4,24.2,52.0,1001.4,19.6,337,3,2026-05-14T17:19:43.328831+00:00,OK,
openweathermap,2026-05-14 17:19:43.075998+00:00,Thiès,TH,14.7886,-16.9255,25.08,25.0,52.0,1010.0,6.15,328,804,2026-05-14T17:19:43.243309+00:00,OK,couvert
open-meteo,2026-05-14 17:19:49.708847+00:00,Diourbel,DB,14.6554,-16.2322,33.5,32.8,32.0,1007.0,15.3,307,1,2026-05-14T17:19:54.972584+00:00,OK,
openweathermap,2026-05-14 17:19:54.845978+00:00,Diourbel,DB,14.6554,-16.2322,34.09,35.58,40.0,1008.0,3.09,360,800,2026-05-14T17:19:55.020866+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:20:06.923041+00:00,Fatick,FK,14.339,-16.4114,34.2,34.3,33.0,1007.6,12.1,300,1,2026-05-14T17:20:13.277597+00:00,OK,
openweathermap,2026-05-14 17:20:12.620651+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T17:20:12.720587+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:20:18.888775+00:00,Kaolack,KL,14.1652,-16.0726,35.7,35.4,30.0,1007.1,14.3,280,1,2026-05-14T17:20:23.396291+00:00,OK,
openweathermap,2026-05-14 17:20:23.297567+00:00,Kaolack,KL,14.1652,-16.0726,34.97,36.04,36.0,1008.0,5.14,280,800,2026-05-14T17:20:23.836640+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:20:26.906775+00:00,Kaffrine,KF,14.1059,-15.5503,36.1,35.8,31.0,1006.1,16.6,275,0,2026-05-14T17:20:31.465870+00:00,OK,
openweathermap,2026-05-14 17:20:31.295426+00:00,Kaffrine,KF,14.1059,-15.5503,36.06,34.94,24.0,1008.0,7.71,238,802,2026-05-14T17:20:31.580739+00:00,OK,partiellement nuageux
openweathermap,2026-05-14 17:20:51.702137+00:00,Tambacounda,TC,13.7707,-13.6673,41.12,43.91,27.0,1005.0,4.12,250,800,2026-05-14T17:20:51.927373+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:20:57.987508+00:00,Kédougou,KD,12.5559,-12.1747,35.9,37.4,41.0,994.3,18.2,256,2,2026-05-14T17:21:02.463938+00:00,OK,
openweathermap,2026-05-14 17:21:02.370598+00:00,Kédougou,KD,12.5559,-12.1747,39.31,46.31,42.0,1006.0,5.66,230,801,2026-05-14T17:21:02.737507+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:21:06.482625+00:00,Kolda,KO,12.8989,-14.9413,37.2,37.8,32.0,1004.4,14.9,250,0,2026-05-14T17:21:10.930295+00:00,OK,
openweathermap,2026-05-14 17:21:10.842496+00:00,Kolda,KO,12.8989,-14.9413,40.05,42.79,29.0,1006.0,5.14,220,800,2026-05-14T17:21:10.977313+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:21:17.142177+00:00,Sédhiou,SD,12.708,-15.5569,35.4,36.0,37.0,1005.8,16.7,244,0,2026-05-14T17:21:21.637622+00:00,OK,
openweathermap,2026-05-14 17:21:21.472088+00:00,Sédhiou,SD,12.708,-15.5569,37.53,37.47,26.0,1007.0,5.66,252,802,2026-05-14T17:21:21.712616+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:21:25.105444+00:00,Ziguinchor,ZG,12.5681,-16.2719,30.7,30.7,41.0,1007.5,13.9,264,0,2026-05-14T17:21:29.575075+00:00,OK,
openweathermap,2026-05-14 17:21:29.438936+00:00,Ziguinchor,ZG,12.5681,-16.2719,32.03,35.7,55.0,1009.0,4.12,320,801,2026-05-14T17:21:29.623439+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:21:35.485869+00:00,Saint-Louis,SL,16.0179,-16.4896,24.1,22.4,55.0,1008.9,22.4,333,3,2026-05-14T17:21:43.014593+00:00,OK,
openweathermap,2026-05-14 17:21:42.894478+00:00,Saint-Louis,SL,16.0179,-16.4896,21.12,21.3,77.0,1009.0,6.51,305,801,2026-05-14T17:21:43.087670+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:21:48.935945+00:00,Louga,LG,15.6179,-16.2241,29.0,28.0,42.0,1004.2,17.9,300,2,2026-05-14T17:21:53.584900+00:00,OK,
openweathermap,2026-05-14 17:21:53.436393+00:00,Louga,LG,15.6179,-16.2241,26.83,27.2,49.0,1009.0,7.7,291,804,2026-05-14T17:21:53.633869+00:00,OK,couvert
open-meteo,2026-05-14 17:21:56.915717+00:00,Matam,MT,15.6559,-13.2557,40.4,38.9,19.0,1002.8,15.2,289,0,2026-05-14T17:22:09.993987+00:00,OK,
openweathermap,2026-05-14 17:22:09.896891+00:00,Matam,MT,15.6559,-13.2557,41.41,40.04,16.0,1005.0,6.2,228,802,2026-05-14T17:22:10.151084+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:23:15.962039+00:00,Dakar,DK,14.6928,-17.4467,22.4,21.6,70.0,1009.5,21.3,354,1,2026-05-14T17:23:20.473004+00:00,OK,
openweathermap,2026-05-14 17:23:20.327617+00:00,Dakar,DK,14.6928,-17.4467,22.92,23.38,81.0,1011.0,7.2,320,801,2026-05-14T17:23:20.519902+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:23:23.877584+00:00,Thiès,TH,14.7886,-16.9255,25.4,24.2,52.0,1001.4,19.6,337,3,2026-05-14T17:23:28.633271+00:00,OK,
openweathermap,2026-05-14 17:23:28.473815+00:00,Thiès,TH,14.7886,-16.9255,25.08,25.0,52.0,1010.0,6.15,328,804,2026-05-14T17:23:28.602283+00:00,OK,couvert
open-meteo,2026-05-14 17:23:34.394965+00:00,Diourbel,DB,14.6554,-16.2322,33.5,32.8,32.0,1007.0,15.3,307,1,2026-05-14T17:23:38.879532+00:00,OK,
openweathermap,2026-05-14 17:23:38.751049+00:00,Diourbel,DB,14.6554,-16.2322,34.09,35.58,40.0,1008.0,3.09,360,800,2026-05-14T17:23:38.921419+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:23:42.426163+00:00,Fatick,FK,14.339,-16.4114,34.2,34.3,33.0,1007.6,12.1,300,1,2026-05-14T17:23:46.824968+00:00,OK,
openweathermap,2026-05-14 17:23:46.745362+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T17:23:47.079154+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:23:52.634992+00:00,Kaolack,KL,14.1652,-16.0726,35.7,35.4,30.0,1007.1,14.3,280,1,2026-05-14T17:23:57.468758+00:00,OK,
openweathermap,2026-05-14 17:23:57.306814+00:00,Kaolack,KL,14.1652,-16.0726,34.97,36.04,36.0,1008.0,5.14,280,800,2026-05-14T17:23:57.435169+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:24:00.787634+00:00,Kaffrine,KF,14.1059,-15.5503,36.1,35.8,31.0,1006.1,16.6,275,0,2026-05-14T17:24:05.295127+00:00,OK,
openweathermap,2026-05-14 17:24:05.156231+00:00,Kaffrine,KF,14.1059,-15.5503,36.06,34.94,24.0,1008.0,7.71,238,802,2026-05-14T17:24:05.625048+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:24:11.149927+00:00,Tambacounda,TC,13.7707,-13.6673,39.1,38.7,26.0,1002.8,17.2,240,1,2026-05-14T17:24:15.612358+00:00,OK,
openweathermap,2026-05-14 17:24:15.486477+00:00,Tambacounda,TC,13.7707,-13.6673,41.12,43.91,27.0,1005.0,4.12,250,800,2026-05-14T17:24:15.655920+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:24:19.125594+00:00,Kédougou,KD,12.5559,-12.1747,35.9,37.4,41.0,994.3,18.2,256,2,2026-05-14T17:24:25.500239+00:00,OK,
openweathermap,2026-05-14 17:24:25.343806+00:00,Kédougou,KD,12.5559,-12.1747,39.31,46.31,42.0,1006.0,5.66,230,801,2026-05-14T17:24:25.567049+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:24:31.273564+00:00,Kolda,KO,12.8989,-14.9413,37.2,37.8,32.0,1004.4,14.9,250,0,2026-05-14T17:24:36.058066+00:00,OK,
openweathermap,2026-05-14 17:24:35.917690+00:00,Kolda,KO,12.8989,-14.9413,40.05,42.79,29.0,1006.0,5.14,220,800,2026-05-14T17:24:36.139655+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:24:39.337038+00:00,Sédhiou,SD,12.708,-15.5569,35.4,36.0,37.0,1005.8,16.7,244,0,2026-05-14T17:24:44.031020+00:00,OK,
openweathermap,2026-05-14 17:24:43.924780+00:00,Sédhiou,SD,12.708,-15.5569,37.53,37.47,26.0,1007.0,5.66,252,802,2026-05-14T17:24:44.091381+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:24:49.817063+00:00,Ziguinchor,ZG,12.5681,-16.2719,30.7,30.7,41.0,1007.5,13.9,264,0,2026-05-14T17:24:54.219644+00:00,OK,
openweathermap,2026-05-14 17:24:54.129234+00:00,Ziguinchor,ZG,12.5681,-16.2719,32.03,35.7,55.0,1009.0,4.12,320,801,2026-05-14T17:24:54.285479+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:24:57.942820+00:00,Saint-Louis,SL,16.0179,-16.4896,24.1,22.4,55.0,1008.9,22.4,333,3,2026-05-14T17:25:02.430744+00:00,OK,
openweathermap,2026-05-14 17:25:02.312077+00:00,Saint-Louis,SL,16.0179,-16.4896,21.12,21.3,77.0,1009.0,6.51,305,801,2026-05-14T17:25:02.465908+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:25:08.235216+00:00,Louga,LG,15.6179,-16.2241,29.0,28.0,42.0,1004.2,17.9,300,2,2026-05-14T17:25:12.715491+00:00,OK,
openweathermap,2026-05-14 17:25:12.594039+00:00,Louga,LG,15.6179,-16.2241,26.83,27.2,49.0,1009.0,7.7,291,804,2026-05-14T17:25:12.676555+00:00,OK,couvert
open-meteo,2026-05-14 17:25:16.295953+00:00,Matam,MT,15.6559,-13.2557,40.4,38.9,19.0,1002.8,15.2,289,0,2026-05-14T17:25:21.202294+00:00,OK,
openweathermap,2026-05-14 17:25:21.122433+00:00,Matam,MT,15.6559,-13.2557,41.41,40.04,16.0,1005.0,6.2,228,802,2026-05-14T17:25:21.235905+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:26:27.472677+00:00,Dakar,DK,14.6928,-17.4467,22.4,21.6,70.0,1009.5,21.3,354,1,2026-05-14T17:26:33.848084+00:00,OK,
openweathermap,2026-05-14 17:26:33.730543+00:00,Dakar,DK,14.6928,-17.4467,22.92,23.38,81.0,1011.0,7.2,320,801,2026-05-14T17:26:33.903472+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:26:39.723642+00:00,Thiès,TH,14.7886,-16.9255,25.4,24.2,52.0,1001.4,19.6,337,3,2026-05-14T17:26:44.246632+00:00,OK,
openweathermap,2026-05-14 17:26:44.122593+00:00,Thiès,TH,14.7886,-16.9255,25.08,25.0,52.0,1010.0,6.15,328,804,2026-05-14T17:26:44.673660+00:00,OK,couvert
open-meteo,2026-05-14 17:26:47.960565+00:00,Diourbel,DB,14.6554,-16.2322,33.5,32.8,32.0,1007.0,15.3,307,1,2026-05-14T17:26:52.520735+00:00,OK,
openweathermap,2026-05-14 17:26:52.405832+00:00,Diourbel,DB,14.6554,-16.2322,34.09,35.58,40.0,1008.0,3.09,360,800,2026-05-14T17:26:52.484565+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:26:58.331896+00:00,Fatick,FK,14.339,-16.4114,34.2,34.3,33.0,1007.6,12.1,300,1,2026-05-14T17:27:02.754327+00:00,OK,
openweathermap,2026-05-14 17:27:02.676696+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T17:27:02.786041+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:27:06.373823+00:00,Kaolack,KL,14.1652,-16.0726,35.7,35.4,30.0,1007.1,14.3,280,1,2026-05-14T17:27:10.801506+00:00,OK,
openweathermap,2026-05-14 17:27:10.694611+00:00,Kaolack,KL,14.1652,-16.0726,34.97,36.04,36.0,1008.0,5.14,280,800,2026-05-14T17:27:11.011895+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:27:16.655008+00:00,Kaffrine,KF,14.1059,-15.5503,36.1,35.8,31.0,1006.1,16.6,275,0,2026-05-14T17:27:21.208593+00:00,OK,
openweathermap,2026-05-14 17:27:21.018267+00:00,Kaffrine,KF,14.1059,-15.5503,36.06,34.94,24.0,1008.0,7.71,238,802,2026-05-14T17:27:21.170721+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:27:24.689958+00:00,Tambacounda,TC,13.7707,-13.6673,39.1,38.7,26.0,1002.8,17.2,240,1,2026-05-14T17:27:29.224288+00:00,OK,
openweathermap,2026-05-14 17:27:29.062330+00:00,Tambacounda,TC,13.7707,-13.6673,41.12,43.91,27.0,1005.0,4.12,250,800,2026-05-14T17:27:29.312160+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:27:35.019954+00:00,Kédougou,KD,12.5559,-12.1747,35.9,37.4,41.0,994.3,18.2,256,2,2026-05-14T17:27:39.537637+00:00,OK,
openweathermap,2026-05-14 17:27:39.392897+00:00,Kédougou,KD,12.5559,-12.1747,39.31,46.31,42.0,1006.0,5.66,230,801,2026-05-14T17:27:39.595988+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:27:43.327256+00:00,Kolda,KO,12.8989,-14.9413,37.2,37.8,32.0,1004.4,14.9,250,0,2026-05-14T17:27:47.852887+00:00,OK,
openweathermap,2026-05-14 17:27:47.695591+00:00,Kolda,KO,12.8989,-14.9413,40.05,42.79,29.0,1006.0,5.14,220,800,2026-05-14T17:27:47.916624+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:27:53.676794+00:00,Sédhiou,SD,12.708,-15.5569,35.4,36.0,37.0,1005.8,16.7,244,0,2026-05-14T17:27:58.196025+00:00,OK,
openweathermap,2026-05-14 17:27:58.026789+00:00,Sédhiou,SD,12.708,-15.5569,37.53,37.47,26.0,1007.0,5.66,252,802,2026-05-14T17:27:58.282367+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:28:01.967022+00:00,Ziguinchor,ZG,12.5681,-16.2719,30.7,30.7,41.0,1007.5,13.9,264,0,2026-05-14T17:28:06.435757+00:00,OK,
openweathermap,2026-05-14 17:28:06.290991+00:00,Ziguinchor,ZG,12.5681,-16.2719,32.03,35.7,55.0,1009.0,4.12,320,801,2026-05-14T17:28:06.494192+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:28:12.214411+00:00,Saint-Louis,SL,16.0179,-16.4896,24.1,22.4,55.0,1008.9,22.4,333,3,2026-05-14T17:28:16.715880+00:00,OK,
openweathermap,2026-05-14 17:28:16.578160+00:00,Saint-Louis,SL,16.0179,-16.4896,21.12,21.3,77.0,1009.0,6.51,305,801,2026-05-14T17:28:16.764620+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:28:20.249379+00:00,Louga,LG,15.6179,-16.2241,29.0,28.0,42.0,1004.2,17.9,300,2,2026-05-14T17:28:25.101441+00:00,OK,
openweathermap,2026-05-14 17:28:24.906420+00:00,Louga,LG,15.6179,-16.2241,26.83,27.2,49.0,1009.0,7.7,291,804,2026-05-14T17:28:25.008790+00:00,OK,couvert
open-meteo,2026-05-14 17:28:30.808371+00:00,Matam,MT,15.6559,-13.2557,40.4,38.9,19.0,1002.8,15.2,289,0,2026-05-14T17:28:35.269637+00:00,OK,
openweathermap,2026-05-14 17:28:35.142779+00:00,Matam,MT,15.6559,-13.2557,41.41,40.04,16.0,1005.0,6.2,228,802,2026-05-14T17:28:35.310408+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:29:42.406023+00:00,Dakar,DK,14.6928,-17.4467,22.4,21.6,70.0,1009.5,21.3,354,1,2026-05-14T17:29:46.939921+00:00,OK,
openweathermap,2026-05-14 17:29:46.808612+00:00,Dakar,DK,14.6928,-17.4467,22.92,23.38,81.0,1011.0,7.2,320,801,2026-05-14T17:29:46.979148+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:29:52.686185+00:00,Thiès,TH,14.7886,-16.9255,25.4,24.2,52.0,1001.4,19.6,337,3,2026-05-14T17:29:57.658059+00:00,OK,
openweathermap,2026-05-14 17:29:57.578821+00:00,Thiès,TH,14.7886,-16.9255,25.08,25.0,52.0,1010.0,6.15,328,804,2026-05-14T17:29:57.687255+00:00,OK,couvert
openweathermap,2026-05-14 17:30:15.047918+00:00,Diourbel,DB,14.6554,-16.2322,34.09,35.58,40.0,1008.0,3.09,360,800,2026-05-14T17:30:15.202769+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:30:23.260123+00:00,Fatick,FK,14.339,-16.4114,33.8,33.8,34.0,1007.8,12.5,305,1,2026-05-14T17:30:27.741093+00:00,OK,
openweathermap,2026-05-14 17:30:27.624579+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T17:30:28.010611+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:30:33.902948+00:00,Kaolack,KL,14.1652,-16.0726,35.5,35.2,31.0,1007.1,14.6,279,1,2026-05-14T17:30:38.365022+00:00,OK,
